label,text,category
Acceptance Of Deed. The BUYER shall have the right to accept such title to the Premises as the SELLER,"11. Acceptance Of Deed. The BUYER shall have the right to accept such title to the Premises as the SELLER
can deliver at the time for performance and if extended, shall have such right at the time for performance, as
extended. The BUYER shall also have the right to accept the Premises in the then current condition and to pay
the purchase price without reduction of price. Upon notice in writing of BUYER'S decision to accept the
Premises and title, the SELLER shall convey title and deliver possession. Acceptance of a deed by the BUYER
or BUYER'S nominee, if any, shall constitute full performance by the SELLER and shall be deemed to release
and discharge the SELLER from every duty and obligation set forth in this Agreement, except any duty or
obligation of the SELLER that the SELLER has agreed to perform after the time for performance.
Notwithstanding the foregoing, all warranties madeby theSELLERshall survivedeliveryofthedeed.",Property
Adjustments. At the time for performance of this Agreement adjustments shall be made as of the date of,"12. Adjustments. At the time for performance of this Agreement adjustments shall be made as of the date of
performance for current real estate taxes. The net total of such adjustments shall be added to or deducted from
the purchase price payable by the BUYER at the time for performance. If the real estate tax rate or assessment
has not been established at the time for performance, apportionment of real estate taxes shall be made on the
basis of the tax for the most recent tax year with either party having the right to request apportionment within
twelvemonths ofthedatethat theamount ofthecurrent year's tax is established.",Legal
Acknowledgment Of Fee Due Broker. The SELLER and BUYER acknowledge that a fee of,"13. Acknowledgment Of Fee Due Broker. The SELLER and BUYER acknowledge that a fee of
( ) for professional services shall be paid by the
SELLERto , the""BROKER"", at thetimeforperformance. In theevent of
a conflict between the terms of this Agreement and a prior fee agreement with BROKER, the terms of the prior
fee agreement shall control unless BROKER has expressly agreed to a change in writing. The BUYER and
SELLER acknowledge receipt of a notice from BROKER, pursuant to 254 of the Code of Massachusetts
Regulations Section 3.0 (13), regarding any agency relationship of the BROKER with the BUYER and/or the
SELLER. The BUYER and SELLERunderstand that [insert name],
areal estate agent, is seeking a fee from [nameof listing agent, seller
or buyer, if applicable] for services rendered as a seller's subagent buyer's agent [chooseone].The
BUYER further represents and warrants that there is no other broker with whom BUYER has dealt in connection
with the purchaseofthe Premises.
3
BUYER'SInitials BUYER'SInitials BUYER'SInitials SELLER'SInitials SELLER'SInitials SELLER'SInitials",Payment
"Buyer's Default. If the BUYER or BUYER'S nominee breaches this Agreement, all escrowed funds paid or","14. Buyer's Default. If the BUYER or BUYER'S nominee breaches this Agreement, all escrowed funds paid or
deposited by the BUYER shall be paid to the SELLER as liquidated damages. Receipt of such payment shall
constitute the SELLER'S sole remedy, at law, in equity or otherwise, for BUYER'S default. The BUYER and
SELLER agree that in the event of default by the BUYER the amount of damages suffered by the SELLER will
not be easy to ascertain with certainty and, therefore, BUYER and SELLER agree that the amount of the
BUYER'S deposit represents areasonableestimateof thedamages likelyto besuffered.",Payment
Buyer's Financing. (Delete if Waived) The BUYER'S obligation to purchase is conditioned upon obtaining,"15. Buyer's Financing. (Delete if Waived) The BUYER'S obligation to purchase is conditioned upon obtaining
mortgage financing in the amount of $ at prevailing rates and terms
by . If, despite reasonable efforts, the BUYER has been unable to obtain
such financing the BUYER may terminate this Agreement by giving written notice that is received by SELLER
or SELLER'S agent by 5:00 p.m. on the calendar day after the date set forth above. In the event that notice has
not been actually or constructively received, this condition is deemed waived. In the event that due notice has
been received, all monies deposited or paid by the BUYER shall be returned and all obligations of the BUYER
and SELLER pursuant to this Agreement shall cease and this Agreement shall become void. In no event shall the
BUYER be deemed to have used reasonable efforts to obtain financing unless the BUYER has submitted at least
one(1) application to alicensed mortage lenderby
and acted reasonablypromptlyin providing anyadditional information requested bythemortgagelender.",General
Tests/Survey. (Delete If Waived) The BUYER'S obligations under this Agreement are subject to BUYER'S,"16. Tests/Survey. (Delete If Waived) The BUYER'S obligations under this Agreement are subject to BUYER'S
right to obtain test(s), inspection(s) and a survey of the Premises or any aspect thereof, including, but not limited
to, percolation, deep hole, septic/sewer, water quality, and water drainage by consultant(s) regularly in the
business of conducting said test(s), inspections and surveys, of BUYER'S own choosing, and at BUYER'S sole
cost within days after SELLER'S acceptance of this agreement. If the results are not satisfactory to
BUYER, in BUYER'S sole discretion, BUYER shall have the right to give written notice received by the
SELLER or SELLER'S agent by 5:00 p.m. on the calendar day after the date set forth above, terminating this
agreement. Upon receipt of such notice this agreement shall be void and all monies deposited by the BUYER
shall be returned. Failure to provide timely notice of termination shall constitute a waiver. In the event that the
BUYER does not exercise the right to have such test(s), inspection(s) and survey or to so terminate, the SELLER
and the listing broker are each released from claims relating to the size suitability or condition of the Premises
that theBUYER or theBUYER'S consultants could reasonablyhave discovered.",Legal
Warranties And Representations. The SELLER further represents and warrants that SELLER has full,"17. Warranties And Representations. The SELLER further represents and warrants that SELLER has full
authority to enter into this Agreement. The BUYER acknowledges that BUYER has not relied upon any
warranties or representations other than those incorporated in this Agreement, except for the following additional
warranties and representations, ifany, madebyeithertheSELLERor anyreal estateagent
[Ifnone, state ""none""; ifanylisted, indicatebywhom thewarranty or representation was made.]",General
Notices. All notices required or permitted to be made under this Agreement shall be in writing and delivered,"18. Notices. All notices required or permitted to be made under this Agreement shall be in writing and delivered
in hand, sent by certified mail, return receipt requested or sent by United States Postal Service overnight Express
Mail or other overnight delivery service, addressed to the BUYER or SELLER or their authorized representative
at the address set forth in this paragraph. Such notice shall be deemed to have been given upon delivery or, if
sent by certified mail on the date of delivery set forth in the receipt or in the absence of a receipt three business
days after deposited or, if sent by overnight mail or delivery, the next business day after deposit with the
4
BUYER'SInitials BUYER'SInitials BUYER'SInitials SELLER'SInitials SELLER'SInitials SELLER'SInitials
overnight mail or delivery service, whether or not a signature is required. Acceptance of any notice, whether by
delivery or mail, shall be sufficient if accepted or signed by a person having express or implied authority to
receivesame. Noticeshall also bedeemed adequateif given in anyotherform permitted by law.
BUYER SELLER",Legal
Counterparts / Facsimiles / Construction Of Agreement. This Agreement may be executed in,"19. Counterparts / Facsimiles / Construction Of Agreement. This Agreement may be executed in
counterparts. Signatures transmitted by facsimile shall have the effect of original signatures. This Agreement
shall be construed as a Massachusetts contract; is to take effect as a sealed instrument; sets forth the entire
agreement between the parties; is binding upon and is intended to benefit the BUYER and SELLER and each of
their respective heirs, devisees, executors, administrators, successors and assigns; and may be canceled, modified
or amended only by a written agreement executed by both the SELLER and the BUYER. If two or more persons
are named as BUYER their obligations are joint and several. If the SELLER or BUYER is a trust, corporation,
limited liability company or entity whose representative executes this Agreement in a representative or fiduciary
capacity, only the principal or the trust or estate represented shall be bound, and neither the trustee, officer,
shareholder or beneficiary shall be personally liable for any obligation, express or implied. The captions and any
notes are used only as a matter of convenience and are not to be considered a part of this Agreement and are not
to be used in determining the intent of the parties. Any matter or practice which has not been addressed in this
Agreement and which is the subject of a Title Standard or Practice Standard of the Massachusetts Conveyancers
Association at the time for performance shall be governed by the Standards and Practices of the Massachusetts
Conveyancers Association.",Legal
Additional Provisions.,"20. Additional Provisions.
UPON SIGNING, THIS DOCUMENT WILL BECOME A LEGALLY BINDING AGREEMENT. IF NOT
UNDERSTOOD, SEEK ADVICE FROM AN ATTORNEY.
BUYER Date SELLER Date
BUYER Date SELLER, or spouse Date
BUYER Date SELLER, or spouse Date
Escrow Agent. By signing below, the escrow agent agrees to perform in accordance with paragraph 4, but does
not otherwisebecome a party to this Agreement.
Date
5
BUYER'SInitials BUYER'SInitials BUYER'SInitials SELLER'SInitials SELLER'SInitials SELLER'SInitials",General
Definition of Confidential Information. “Confidential Information” means,"1. Definition of Confidential Information. “Confidential Information” means
information and physical material not generally known or available outside Discloser and
information and physical material entrusted to Discloser in confidence by third parties.
Confidential Information includes, without limitation: technical data, trade secrets, know-how,
research, product or service ideas or plans, software codes and designs, algorithms,
developments, inventions, patent applications, laboratory notebooks, processes, formulas,
techniques, mask works, engineering designs and drawings, hardware configuration information,
agreements with third parties, lists of, or information relating to, employees and consultants of
the Discloser (including, but not limited to, the names, contact information, jobs, compensation,
and expertise of such employees and consultants), lists of, or information relating to, suppliers
and customers, price lists, pricing methodologies, cost data, market share data, marketing plans,
licenses, contract information, business plans, financial forecasts, historical financial data,
budgets or other business information disclosed by Discloser (whether by oral, written, graphic
or machine-readable format), which Confidential Information is designated in writing to be
confidential or proprietary, or if given orally, is confirmed in writing as having been disclosed as
confidential or proprietary within a reasonable time (not to exceed thirty (30) days) after the oral
disclosure, or which information would, under the circumstances, appear to a reasonable person
to be confidential or proprietary.",Confidentiality
Nondisclosure of Confidential Information. Recipient shall not use any,"2. Nondisclosure of Confidential Information. Recipient shall not use any
Confidential Information disclosed to it by Discloser for its own use or for any purpose other
than to carry out discussions concerning, and the undertaking of, the Relationship. Recipient
shall not disclose or permit disclosure of any Confidential Information of Discloser to third
parties or to employees of Recipient, other than directors, officers, employees, consultants and
agents of Recipient who are required to have the information in order to carry out the discussions
OHSUSA:762685764
regarding the Relationship. Recipient shall take reasonable measures to protect the secrecy of
and avoid disclosure or use of Confidential Information of Discloser in order to prevent it from
falling into the public domain or the possession of persons other than those persons authorized
under this Agreement to have any such information. Such measures shall include the degree of
care that Recipient utilizes to protect its own Confidential Information of a similar nature.
Recipient shall notify Discloser of any misuse, misappropriation or unauthorized disclosure of
Confidential Information of Discloser which may come to Recipient’s attention.",Confidentiality
"Exceptions. Notwithstanding the above, information disclosed hereunder shall","3. Exceptions. Notwithstanding the above, information disclosed hereunder shall
not be considered “Confidential Information” as defined herein where Recipient can prove that
such information:
(a) was in the public domain at the time it was disclosed or has entered the
public domain through no fault of Recipient;
(b) was known to Recipient, without restriction, at the time of disclosure, as
demonstrated by files in existence at the time of disclosure;
(c) becomes known to Recipient, without restriction, from a source other than
Discloser without breach of this Agreement by Recipient and otherwise not in violation of
Discloser’s rights;
(d) is disclosed with the prior written approval of Discloser; or
(e) is disclosed pursuant to the order or requirement of a court, administrative
agency, or other governmental body; provided, however, that Recipient shall provide prompt
notice of such court order or requirement to Discloser to enable Discloser to seek a protective
order or otherwise prevent or restrict such disclosure.",General
"Return of Materials. Recipient shall, except as otherwise expressly authorized","4. Return of Materials. Recipient shall, except as otherwise expressly authorized
by Discloser, not make any copies or duplicates of any Confidential Information. Any materials
or documents that have been furnished by Discloser to Recipient in connection with the
Relationship shall be promptly returned by Recipient, accompanied by all copies of such
documentation, within ten (10) days after (a) the Relationship has been rejected or concluded or
(b) the written request of Discloser.",General
No Rights Granted. Nothing in this Agreement shall be construed as granting,"5. No Rights Granted. Nothing in this Agreement shall be construed as granting
any rights under any patent, copyright or other intellectual property right of Discloser, nor shall
this Agreement grant Recipient any rights in or to Discloser’s Confidential Information other
than the limited right to review such Confidential Information solely for the purpose of
determining whether to enter into the Relationship. Nothing in this Agreement requires the
disclosure of any Confidential Information, which shall be disclosed, if at all, solely at
Discloser’s option. Nothing in this Agreement requires the Discloser to proceed with the
Relationship or any transaction in connection with which the Confidential Information may be
disclosed.",Legal
"No Representations Made. Recipient acknowledges that neither Discloser, nor","6. No Representations Made. Recipient acknowledges that neither Discloser, nor
any of its representatives, in the course of providing the Confidential Information as
OHSUSA:762685764 -2-
contemplated hereunder, is making any representation or warranty (express or implied) as to the
accuracy or completeness of any such information, and Recipient assumes full responsibility for
all conclusions derived from such information. Recipient shall be entitled to, and shall, rely
solely on representations and warranties made in a definitive agreement, if any, relating to the
Relationship.",General
Notice of Compelled Disclosure. In the event that Recipient or any person to,"7. Notice of Compelled Disclosure. In the event that Recipient or any person to
whom they or their representatives transmit or have transmitted Confidential Information
become legally compelled (by oral questions, interrogatories, requests for information or
documents, subpoenas, civil investigative demands or otherwise) to disclose any such
Confidential Information, the Recipient shall provide the Discloser with prompt written notice so
that the Discloser may seek a protective order or other appropriate remedy, or both, or waive
compliance with the provisions of this Agreement. In the event that the Discloser is unable to
obtain a protective order or other appropriate remedy, or if it so directs the Recipient, the
Recipient shall furnish only that portion of the Confidential Information that the Recipient is
advised by written opinion of its counsel is legally required to be furnished by it and shall
exercise its reasonable best efforts to obtain reliable assurance that confidential treatment shall
be accorded such Confidential Information.",General
Common Interest Agreement. To the extent that any Confidential Information,"8. Common Interest Agreement. To the extent that any Confidential Information
provided or made available hereunder may include material subject to the attorney-client
privilege, work product doctrine or any other applicable privilege concerning pending or
threatened legal proceedings or governmental investigations, Recipient and Discloser understand
and agree that they have a commonality of interest with respect to such matters and it is their
desire, intention and mutual understanding that the sharing of such material is not intended to,
and shall not, waive or diminish in any way the confidentiality of such material or its continued
protection under the attorney-client privilege, work product doctrine or other applicable
privilege. All Confidential Information provided or made available by Discloser that is entitled
to protection under the attorney-client privilege, work product doctrine or other applicable
privilege shall remain entitled to such protection under these privileges, this Agreement, and
under the joint defense doctrine. Nothing in this Agreement obligates Discloser to reveal
material subject to the attorney-client privilege, work product doctrine or any other applicable
privilege.",Confidentiality
Term. The foregoing commitments of each party shall survive any termination of,"9. Term. The foregoing commitments of each party shall survive any termination of
the Relationship between the parties.",Termination
"Independent Contractors. The parties are independent contractors, and nothing","10. Independent Contractors. The parties are independent contractors, and nothing
contained in this Agreement shall be construed to constitute the parties as partners, joint
venturers, co-owners or otherwise as participants in a joint or common undertaking.",General
Remedies. Each party’s obligations set forth in this Agreement are necessary and,"11. Remedies. Each party’s obligations set forth in this Agreement are necessary and
reasonable in order to protect Discloser and its business. Due to the unique nature of Discloser’s
Confidential Information, monetary damages shall be inadequate to compensate Discloser for
any breach by Recipient of its covenants and agreements set forth in this Agreement.
Accordingly, the parties each agree and acknowledge that any such violation or threatened
violation may cause irreparable injury to Discloser and, in addition to any other remedies that
OHSUSA:762685764 -3-
may be available, in law, in equity or otherwise, Discloser shall be entitled to obtain injunctive
relief against the threatened breach of this Agreement or the continuation of any such breach by
Recipient.",Legal
Miscellaneous.,"12. Miscellaneous.
(a) Governing Law. The validity, interpretation, construction and
performance of this Agreement, and all acts and transactions pursuant hereto and the rights and
obligations of the parties hereto shall be governed, construed and interpreted in accordance with
the laws of the state of California, without giving effect to principles of conflicts of law.
(b) Entire Agreement. This Agreement sets forth the entire agreement and
understanding of the parties relating to the subject matter herein and supersedes all prior or
contemporaneous discussions, understandings and agreements, whether oral or written, between
them relating to the subject matter hereof.
(c) Amendments and Waivers. No modification of or amendment to this
Agreement, nor any waiver of any rights under this Agreement, shall be effective unless in
writing signed by the parties to this Agreement. No delay or failure to require performance of
any provision of this Agreement shall constitute a waiver of that provision as to that or any other
instance.
(d) Successors and Assigns. Except as otherwise provided in this
Agreement, this Agreement, and the rights and obligations of the parties hereunder, will be
binding upon and inure to the benefit of their respective successors, assigns, heirs, executors,
administrators and legal representatives. The Discloser may assign any of its rights and
obligations under this Agreement. No other party to this Agreement may assign, whether
voluntarily or by operation of law, any of its rights and obligations under this Agreement, except
with the prior written consent of the Discloser. Notwithstanding the foregoing, Confidential
Information of Discloser may not be assigned without the prior written consent of Discloser,
unless the assignee shall be the successor entity to the assignor upon the dissolution of the
assignor in its present form.
(e) Notices. Any notice, demand or request required or permitted to be
given under this Agreement shall be in writing and shall be deemed sufficient when delivered
personally or by overnight courier or sent by email, or 48 hours after being deposited in the U.S.
mail as certified or registered mail with postage prepaid, addressed to the party to be notified at
such party’s address as set forth on the signature page, as subsequently modified by written
notice, or if no address is specified on the signature page, at the most recent address set forth in
the Company’s books and records.
(f) Severability. If one or more provisions of this Agreement are held to be
unenforceable under applicable law, the parties agree to renegotiate such provision in good faith.
In the event that the parties cannot reach a mutually agreeable and enforceable replacement for
such provision, then (i) such provision shall be excluded from this Agreement, (ii) the balance of
the Agreement shall be interpreted as if such provision were so excluded and (iii) the balance of
the Agreement shall be enforceable in accordance with its terms.
OHSUSA:762685764 -4-
(g) Construction. This Agreement is the result of negotiations between and
has been reviewed by each of the parties hereto and their respective counsel, if any; accordingly,
this Agreement shall be deemed to be the product of all of the parties hereto, and no ambiguity
shall be construed in favor of or against any one of the parties hereto.
(h) Counterparts. This Agreement may be executed in any number of
counterparts, each of which when so executed and delivered shall be deemed an original, and all
of which together shall constitute one and the same agreement. Execution of a facsimile copy
will have the same force and effect as execution of an original, and a facsimile signature will be
deemed an original and valid signature.
[Signature Page Follows]
OHSUSA:762685764 -5-
The parties have executed this Nondisclosure Agreement as of the date first above
written.
DISCLOSER:
_________________________
By:
Name:
Title:
Address:
____________________________________
____________________________________
RECIPIENT:
(PRINT NAME)
By:
(Signature)
Name:
Title:
Address:
Email:
OHSUSA:762685764 -6-",General
DUTIES.,"1. DUTIES.
A. CONSULTANT agrees to exercise special skill to accomplish the following results in a manner
reasonably satisfactory to COMMISSION: ______________________________, as specified in Exhibit
A: Scope of Services, which by this reference is incorporated herein.
B. CONSULTANT shall provide the personnel listed below to perform the above-specified services, which
persons are hereby designated as key personnel under this Agreement.
Name Firm Function
Principal in Charge
Project Manager
C. No person named in paragraph B of this Section, or his or her successor, shall be removed or replaced by
CONSULTANT, nor shall his or her agreed-upon function hereunder be changed, without the prior
written consent of COMMISSION. Such consent shall not be unreasonably withheld.
D. CONSULTANT’S PROGRESS REPORTS AND/OR MEETINGS
1) The CONSULTANT shall submit written progress reports with each invoice. The report should be
sufficiently detailed for the Contract Manager to determine if the CONSULTANT is performing to
expectations or is on schedule; to provide communication of interim findings; and to sufficiently
address any difficulties or special problems encountered, so remedies can be developed.
2) The CONSULTANT’s Project Manager shall meet with the COMMISSION’s Contract Manager, as
needed, to discuss progress on the contract.",Performance
COMPENSATION.,"2. COMPENSATION.
In consideration for CONSULTANT accomplishing said result, COMMISSION agrees to pay
CONSULTANT as follows:
A. Total payment is not to exceed $_____for time and materials at the rates and conditions set forth in
Exhibit B: Fee Schedule, which by this reference is incorporated herein.
B. In no event, will the CONSULTANT be reimbursed for overhead costs at a rate that exceeds the
overhead rate set forth in the Fee Schedule.
C. Transportation and subsistence costs shall not exceed the rates authorized to employees under current
U.S. General Service Administration rules.
D. Reimbursable expenses will be billed by CONSULTANT and processed for payment upon approval of
the Contract Manager.
E. Progress payments will be made no less than monthly in arrears based on satisfactory services provided
and actual allowable incurred costs. A pro rata portion of the CONSULTANT’s fixed fee, if applicable,
will be included in the monthly progress payments. If CONSULTANT fails to submit the required
Page 1
deliverable items according to the schedule set forth in the Scope of Services, the COMMISSION may
delay payment and/or terminate this Agreement in accordance with the provisions of Section 4 of this
Agreement.
F. No payment will be made prior to approval of any work, nor for any work performed prior to approval
of this Agreement.
G. CONSULTANT shall not exceed milestone cost estimates as shown in Exhibit B, except with the prior
written approval of the Contract Manager.
H. The CONSULTANT will be reimbursed after receipt by the COMMISSION’s Contract Manager of
itemized invoices. Invoices shall be submitted no later than 45calendar days after the performance of
work for which the CONSULTANT is billing. Invoices shall be mailed to the COMMISSION’s
Contract Manager at the following address:
SCCRTC, 1523 Pacific Ave, Santa Cruz, CA, 95060
The invoices must include the following information:",Payment
"Labor (staff name, hours charged, hourly billing rate, current charges and cumulative","1. Labor (staff name, hours charged, hourly billing rate, current charges and cumulative
charges) performed during the billing period by task;",General
Itemized expenses incurred during the billing period;,2. Itemized expenses incurred during the billing period;,General
Total invoice/payment requested;,3. Total invoice/payment requested;,Payment
Total amount previously paid under this Agreement;,4. Total amount previously paid under this Agreement;,Legal
Report of expenditures by CONSULTANT and subconsultants for each task and subtask,"5. Report of expenditures by CONSULTANT and subconsultants for each task and subtask
or milestone and estimated percentage completion by such divisions of work;",General
"Written progress reports, in a format to be mutually agreed upon, that is sufficiently","6. Written progress reports, in a format to be mutually agreed upon, that is sufficiently
detailed for the Contract Manager to determine if the CONSULTANT is performing to
expectations and is on schedule; provides communication of interim findings; addresses
any difficulties or special problems encountered, so remedies can be developed; and other
information as requested by COMMISSION.",Performance
CONSULTANT's final invoice must be submitted within 60-calendar days after,"7. CONSULTANT's final invoice must be submitted within 60-calendar days after
acceptance of the CONSULTANT’s work by the Contract Manager.
I. For personnel subject to prevailing wage rates as described in the California Labor Code, all salary
increases, which are the direct result of changes in the prevailing wage rates are reimbursable.",General
TERM. This Agreement shall take effect on (DATE); contingent upon prior approval by the,"3. TERM. This Agreement shall take effect on (DATE); contingent upon prior approval by the
COMMISSION governing board, and the CONSULTANT shall commence work after notification to
proceed by the COMMISSION’S Contract Manager. The Agreement shall end on (DATE), unless earlier
terminated or extended by contract amendment. The CONSULTANT is advised that this Agreement is not
binding and enforceable until it is fully executed and approved by the COMMISSION's board.",Legal
